Our Sku,sanitaryfittings-sku,ferguson-sku
13H-100,13H-1-304,S13H1304
13H-150,13H-1.5-304,S13H15304
13H-200,13H-2-304,S13H2304
13H-250,13H-2.5-304,S13H25304
13H-300,13H-3-304,S13H3304
13H-400,13H-4-304,S13H4304
13MHHM-050-075,13MHHM-.50-304,S13MHHM50304
13MHHM-100-150,13MHHM-1-RWN-304,S13MHHM1RWN304
13MHHM-100-150,13MHHM-1-304,S13MHHM1304
13MHHM-1000,13MHHM-10-RWN-304,S13MHHM10RWN304
13MHHM-1000,13MHHM-10-304,S13MHHM10304
13MHHM-1200,13MHHM-12-RWN-304,S13MHHM12RWN304
13MHHM-1200,13MHHM-12-304,S13MHHM12304
13MHHM-200,13MHHM-2-304,S13MHHM2304
13MHHM-200,13MHHM-2-RWN-304,S13MHHM2RWN304
13MHHM-250,13MHHM-2.5-304,S13MHHM25304
13MHHM-250,13MHHM-2.5-RWN-304,S13MHHM25RWN304
13MHHM-300,13MHHM-3-304,S13MHHM3304
13MHHM-300,13MHHM-3-RWN-304,S13MHHM3RWN304
13MHHM-400,13MHHM-4-304,S13MHHM4304
13MHHM-400,13MHHM-4-RWN-304,S13MHHM4RWN304
13MHHM-500,13MHHM-5-304,S13MHHM5304
13MHHM-600,13MHHM-6-304,S13MHHM6304
13MHHM-600,13MHHM-6-RWN-304,S13MHHM6RWN304
13MHHM-800,13MHHM-8-304,S13MHHM8304
13MHHM-800,13MHHM-8-RWN-304,S13MHHM8RWN304
14A-300,L14A7-3-316,SL14A73316
14A4-100,L14A7-1-304,SL14A71304
14A4-150,L14A7-1.5-304,SL14A715304
14A4-200,L14A7-2-304,SL14A72304
14A4-250,L14A7-2.5-304,SL14A725304
14A4-300,L14A7-3-304,SL14A73304
14A4-400,L14A7-4-304,SL14A74304
14A6-100,L14A7-1-316,SL14A71316
14A6-150,L14A7-1.5-316,SL14A715316
14A6-200,L14A7-2-316,SL14A72316
14A6-250,L14A7-2.5-316,SL14A725316
14A6-400,L14A7-4-316,SL14A74316
14AM74-100,L14AM7-1-304,SL14AM71304
14AM74-1000,L14AM7-10-304,SL14AM710304
14AM74-1200,L14AM7-12-304,SL14AM712304
14AM74-150,L14AM7-1.5-304,SL14AM715304
14AM74-200,L14AM7-2-304,SL14AM72304
14AM74-250,L14AM7-2.5-304,SL14AM725304
14AM74-300,L14AM7-3-304,SL14AM73304
14AM74-400,L14AM7-4-304,SL14AM74304
14AM74-500,L14AM7-5X1.5-304,SL14AM75X15304
14AM74-600,L14AM7-6-304,SL14AM76304
14AM74-800,L14AM7-8-304,SL14AM78304
14AM76-050,L14AM7-.50-316,SL14AM750316
14AM76-075,L14AM7-.75-316,SL14AM775316
14AM76-100,L14AM7-1-316,SL14AM71316
14AM76-1000,L14AM7-10-316,SL14AM710316
14AM76-1200,L14AM7-12-316,SL14AM712316
14AM76-150,L14AM7-1.5-316,SL14AM715316
14AM76-200,L14AM7-2-316,SL14AM72316
14AM76-250,L14AM7-2.5-316,SL14AM725316
14AM76-300,L14AM7-3-316,SL14AM73316
14AM76-400,L14AM7-4-316,SL14AM74316
14AM76-500,L14AM7-5X1.5-316,SL14AM75X15316
14AM76-600,L14AM7-6-316,SL14AM76316
14AM76-800,L14AM7-8-316,SL14AM78316
14MPHT4-100,14MPHT-1-304,S14MPHT1304
14MPHT4-150,14MPHT-1.5-304,S14MPHT15304
14MPHT4-200,14MPHT-2-304,S14MPHT2304
14MPHT4-250,14MPHT-2.5-304,S14MPHT25304
14MPHT4-300,14MPHT-3-304,S14MPHT3304
14MPHT4-400,14MPHT-4-304,S14MPHT4304
14MPHT6-100,14MPHT-1-316,S14MPHT1316
14MPHT6-150,14MPHT-1.5-316,S14MPHT15316
14MPHT6-200,14MPHT-2-316,S14MPHT2316
14MPHT6-250,14MPHT-2.5-316,S14MPHT25316
14MPHT6-300,14MPHT-3-316,S14MPHT3316
14MPHT6-400,14MPHT-4-316,S14MPHT4316
14MPW6-050,14MPW-.50-316,S14MPW50316
14MPW6-075,14MPW-.75-316,S14MPW75316
14MPW6-100,14MPW-1-316,S14MPW1316
14MPW6-150,14MPW-1.5-316,S14MPW15316
14MPW6-200,14MPW-2-316,S14MPW2316
14MPW6-250,14MPW-2.5-316,S14MPW25316
14MPW6-300,14MPW-3-316,S14MPW3316
14MPW6-400,14MPW-4-316,S14MPW4316
14MPW6-600,14MPW-6-316,S14MPW6316
14MPW6-800,14MPW-8-316,S14MPW8316
14RMP4-100,14RMP-1-304,S14RMP1304
14RMP4-150,14RMP-1.5-304,S14RMP15304
14RMP4-200,14RMP-2-304,S14RMP2304
14RMP4-250,14RMP-2.5-304,S14RMP25304
14RMP4-300,14RMP-3-304,S14RMP3304
14RMP4-400,14RMP-4-304,S14RMP4304
14WI4-100,14WI-1-304,S14WI1304
14WI4-150,14WI-1.5-304,S14WI15304
14WI4-200,14WI-2-304,S14WI2304
14WI4-250,14WI-2.5-304,S14WI25304
14WI4-300,14WI-3-304,S14WI3304
14WI4-400,14WI-4-304,S14WI4304
14WI4-600,14WI-6-304,S14WI6304
14WI6-100,14WI-1-316,S14WI1316
14WI6-150,14WI-1.5-316,S14WI15316
14WI6-200,14WI-2-316,S14WI2316
14WI6-250,14WI-2.5-316,S14WI25316
14WI6-400,14WI-4-316,S14WI4316
14WI6-600,14WI-6-316,S14WI6316
14WLI6-100,14WLI-1-316,S14WLI1316
14WLI6-150,14WLI-1.5-316,S14WLI15316
14WLI6-200,14WLI-2-316,S14WLI2316
14WLI6-250,14WLI-2.5-316,S14WLI25316
14WLI6-300,14WLI-3-316,S14WLI3316
14WLI6-400,14WLI-4-316,S14WLI4316
14WLI6-600,14WLI-6-316,S14WLI6316
14WLMP4-100,14WLMP-1-304,S14WLMP1304
14WLMP4-1000,14WLMP-10-304,S14WLMP10304
14WLMP4-1200,14WLMP-12-304,S14WLMP12304
14WLMP4-150,14WLMP-1.5-304,S14WLMP15304
14WLMP4-200,14WLMP-2-304,S14WLMP2304
14WLMP4-250,14WLMP-2.5-304,S14WLMP25304
14WLMP4-300,14WLMP-3-304,S14WLMP3304
14WLMP4-400,14WLMP-4-304,S14WLMP4304
14WLMP4-600,14WLMP-6-304,S14WLMP6304
14WLMP4-800,14WLMP-8-304,S14WLMP8304
14WLMP6-050,14WLMP-.50-316,S14WLMP50316
14WLMP6-075,14WLMP-.75-316,S14WLMP75316
14WLMP6-100,14WLMP-1-316,S14WLMP1316
14WLMP6-1000,14WLMP-10-316,S14WLMP10316
14WLMP6-1200,14WLMP-12-316,S14WLMP12316
14WLMP6-150,14WLMP-1.5-316,S14WLMP15316
14WLMP6-200,14WLMP-2-316,S14WLMP2316
14WLMP6-250,14WLMP-2.5-316,S14WLMP25316
14WLMP6-300,14WLMP-3-316,S14WLMP3316
14WLMP6-400,14WLMP-4-316,S14WLMP4316
14WLMP6-600,14WLMP-6-316,S14WLMP6316
14WLMP6-800,14WLMP-8-316,S14WLMP8316
14WMP4-100,14WMP-1-304,S14WMP1304
14WMP4-1000,14WMP-10-304,S14WMP10304
14WMP4-1200,14WMP-12-304,S14WMP12304
14WMP4-150,14WMP-1.5-304,S14WMP15304
14WMP4-200,14WMP-2-304,S14WMP2304
14WMP4-250,14WMP-2.5-304,S14WMP25304
14WMP4-300,14WMP-3-304,S14WMP3304
14WMP4-400,14WMP-4-304,S14WMP4304
14WMP4-500,14WMP-5-304,S14WMP5304
14WMP4-600,14WMP-6-304,S14WMP6304
14WMP4-800,14WMP-8-304,S14WMP8304
14WMP6-100,14WMP-1-316,S14WMP1316
14WMP6-1000,14WMP-10-316,S14WMP10316
14WMP6-1200,14WMP-12-316,S14WMP12316
14WMP6-150,14WMP-1.5-316,S14WMP15316
14WMP6-200,14WMP-2-316,S14WMP2316
14WMP6-250,14WMP-2.5-316,S14WMP25316
14WMP6-300,14WMP-3-316,S14WMP3316
14WMP6-400,14WMP-4-316,S14WMP4316
14WMP6-500,14WMP-5-316,S14WMP5316
14WMP6-600,14WMP-6-316,S14WMP6316
14WMP6-800,14WMP-8-316,S14WMP8316
15A4-100,L15A7-1-304,SL15A71304
15A4-150,L15A7-1.5-304,SL15A715304
15A4-200,L15A7-2-304,SL15A72304
15A4-250,L15A7-2.5-304,SL15A725304
15A4-300,L15A7-3-304,SL15A73304
15A4-400,L15A7-4-304,SL15A74304
15A6-100,L15A7-1-316,SL15A71316
15A6-150,L15A7-1.5-316,SL15A715316
15A6-200,L15A7-2-316,SL15A72316
15A6-250,L15A7-2.5-316,SL15A725316
15A6-300,L15A7-3-316,SL15A73316
15A6-400,L15A7-4-316,SL15A74316
15WI4-100,15WI-1-304,S15WI1304
15WI4-150,15WI-1.5-304,S15WI15304
15WI4-200,15WI-2-304,S15WI2304
15WI4-250,15WI-2.5-304,S15WI25304
15WI4-300,15WI-3-304,S15WI3304
15WI4-400,15WI-4-304,S15WI4304
15WI4-600,15WI-6-304,S15WI6304
15WI6-100,15WI-1-316,S15WI1316
15WI6-150,15WI-1.5-316,S15WI15316
15WI6-200,15WI-2-316,S15WI2316
15WI6-250,15WI-2.5-316,S15WI25316
15WI6-300,15WI-3-316,S15WI3316
15WI6-400,15WI-4-316,S15WI4316
15WI6-600,15WI-6-316,S15WI6316
15WLI6-100,15WLI-1-316,S15WLI1316
15WLI6-150,15WLI-1.5-316,S15WLI15316
15WLI6-200,15WLI-2-316,S15WLI2316
15WLI6-250,15WLI-2.5-316,S15WLI25316
15WLI6-300,15WLI-3-316,S15WLI3316
15WLI6-400,15WLI-4-316,S15WLI4316
15WLI6-600,15WLI-6-316,S15WLI6316
16A4-100,16A-1-304,S16A1304
16A4-150,16A-1.5-304,S16A15304
16A4-200,16A-2-304,S16A2304
16A4-250,16A-2.5-304,S16A25304
16A4-300,16A-3-304,S16A3304
16A4-400,16A-4-304,S16A4304
16A6-100,16A-1-316,S16A1316
16A6-150,16A-1.5-316,S16A15316
16A6-200,16A-2-316,S16A2316
16A6-250,16A-2.5-316,S16A25316
16A6-300,16A-3-316,S16A3316
16A6-400,16A-4-316,S16A4316
16AMP4-1000,16AMP-10-304,S16AMP10304
16AMP4-1200,16AMP-12-304,S16AMP12304
16AMP4-200,16AMP-2-304,S16AMP2304
16AMP4-250,16AMP-2.5-304,S16AMP25304
16AMP4-300,16AMP-3-304,S16AMP3304
16AMP4-400,16AMP-4-304,S16AMP4304
16AMP4-500,16AMP-5-304,S16AMP5304
16AMP4-600,16AMP-6-304,S16AMP6304
16AMP4-800,16AMP-8-304,S16AMP8304
16AMP6-100-150,16AMP-1-316,S16AMP1316
16AMP6-1000,16AMP-10-316,S16AMP10316
16AMP6-1200,16AMP-12-316,S16AMP12316
16AMP6-200,16AMP-2-316,S16AMP2316
16AMP6-250,16AMP-2.5-316,S16AMP25316
16AMP6-300,16AMP-3-316,S16AMP3316
